country,location,name,height
USA,New York City,One World Trade Center,1776
Japan,Osaka,Abeno Harukas,984
Thailand,Bangkok,Magnolias Waterfront Residences Tower 1,1033
Iraq,Sulaymaniyah,Grand Millennium Hotel,492
China,Shanghai,Shanghai Tower,2073
Ireland,Dublin,Capital Dock,259
UK,London,The Shard,1004
Turkmenistan,Ashgabat,Turkmenistan Broadcasting Center,568
Italy,Milan,Unicredit Tower,714
Malaysia,Kuala Lumpur,Petronas Towers,1483
France,Courbevoie,Tour First,758
Finland,Helsinki,Majakka,432
Saudi Arabia,Mecca,Makkah Royal Clock Tower,1972
Taiwan,Taipei,Taipei 101,1667
Philippines,Taguig,Grand Hyatt Metrocenter,850
Iran,Tehran,Tehran International Tower,531
Russia,Saint Petersburg,Lakhta Center,1516
Canada,Toronto,First Canadian Place,978
South Korea,Seol,Lotte World Tower,1819
Singapore,Singapore,Guoco Tower,931
Mexico,Monterrey,T.Op Corporativo,1002
Georgia,Batumi,Batumi Technological University Tower,656
UAE,Dubai,Burj Khalifa,2717
Australia,Gold Coast,Q1,1058
Austria,Vienna,DC Tower 1,722
